"Estimate","Std. Error","t value","Pr(>|t|)"
-2.4341023954299,0.0159637288136506,-152.477057449667,0
-0.355177724876471,0.015893074029509,-22.3479563624384,3.60570812532783e-110
-0.128125937213125,0.0157965680856269,-8.11099832055959,5.11560089294209e-16
-0.370004507318428,0.0159023304428864,-23.2673134700167,3.25352543108604e-119
0.1254032300959,0.0157861087355239,7.94389752388447,1.99340068133535e-15
0.236103183637578,0.0158130693728817,14.9308890051717,2.56103567997134e-50
0.460703973561738,0.0159267218825796,28.9264782143053,1.03543655247114e-182
0.260796523052661,0.0158216903085393,16.4834804604855,6.58902440527204e-61
-1.85281978815892,0.019155729686965,-96.7240516773274,0
-3.08195812855219,0.0275969279099546,-111.677580149799,0
0.446870105426138,0.00668889865382352,66.8077255394949,0
0.617830275851607,0.0066190350562006,93.3414418575762,0
0.512223347015108,0.0066358149716879,77.1907217426254,0
0.911580767594735,0.0065452052995298,139.274587408316,0
1.54819229504637,0.010074462878669,153.674921798999,0
1.67194503249706,0.0100420594951545,166.494236894714,0
0.146520918420398,0.00516752910233236,28.3541544747694,1.11027189744736e-175
-2.07492134338831,0.0201761848743196,-102.840123458091,0
-3.42449683467427,0.0364750691781373,-93.885958596807,0
-3.00113602463878,0.0280906835798706,-106.83741519161,0
-1.70491683606988,0.0202605287764158,-84.1496712590487,0
-2.23031717671194,0.0203385867956231,-109.659397632874,0
-2.91779577861827,0.0240501201627792,-121.321463629689,0
-2.88910333511588,0.0223300967822943,-129.38158590547,0
-0.337841419472179,0.015830025097651,-21.3418119925982,1.11182842205352e-100
-1.5942920245289,0.0335307471819189,-47.5471666610698,0
-0.969160885114764,0.0467762507131255,-20.7190800959773,5.06243615340705e-95
-0.563542767370181,0.016057742208924,-35.0947698647818,4.4489257929097e-267
-2.12098581274164,0.0225939299876212,-93.8741429181951,0
-1.56776881035771,0.0185500421603416,-84.5156467465859,0
-0.528109872192467,0.0165981064562839,-31.8174771070063,2.66425525737449e-220
-0.635781713774124,0.0160178835928688,-39.6919923963722,0
-1.43006985508372,0.017101109497898,-83.624390292308,0
-1.4999041378468,0.0168904353442815,-88.801982143972,0
-0.141841572083258,0.0158270207801217,-8.96198811221677,3.27865594964023e-19
-0.485520799203779,0.0241696518490358,-20.0880344589303,1.86421398548577e-89
-0.46239159551021,0.0400107843611987,-11.5566741040604,7.37032523502088e-31
